month,week,day,hour,DotW,WR
1,1,2,0,1,0
1,1,2,1,1,0
1,1,2,2,1,0
1,1,2,3,1,0
1,1,2,4,1,0
1,1,2,5,1,0
1,1,2,6,1,0
1,1,2,8,1,18
1,1,2,9,1,20
1,1,2,10,1,32
1,1,2,12,1,54
1,1,2,13,1,62
1,1,2,14,1,92
1,1,2,15,1,97
1,1,2,23,1,0
1,1,2,0,3,0
1,1,2,1,3,0
1,1,2,2,3,0
1,1,2,3,3,0
1,1,2,4,3,0
1,1,2,5,3,0
1,1,2,6,3,0
1,1,2,8,3,6
1,1,2,10,3,20
1,1,2,12,3,23
1,1,2,13,3,31
1,1,2,14,3,35
1,1,2,15,3,33
1,1,2,16,3,40
1,1,2,18,3,55
1,1,2,23,3,0
1,1,2,0,4,0
1,1,2,1,4,0
1,1,2,2,4,0
1,1,2,3,4,0
1,1,2,4,4,0
1,1,2,5,4,0
1,1,2,6,4,17
1,1,2,7,4,22
1,1,2,8,4,16
1,1,2,9,4,15
1,1,2,10,4,24
1,1,2,11,4,31
1,1,2,12,4,29
1,1,2,13,4,32
1,1,2,14,4,37
1,1,2,15,4,49
1,1,2,16,4,56
1,1,2,17,4,26
1,1,2,23,4,0
1,1,2,0,5,0
1,1,2,1,5,0
1,1,2,2,5,0
1,1,2,3,5,0
1,1,2,4,5,0
1,1,2,5,5,0
1,1,2,6,5,0
1,1,2,8,5,14
1,1,2,9,5,22
1,1,2,10,5,27
1,1,2,11,5,44
1,1,2,12,5,41
1,1,2,13,5,43
1,1,2,14,5,42
1,1,2,15,5,97
1,1,2,20,5,0
1,1,2,21,5,0
1,1,2,22,5,0
1,1,2,23,5,0
1,53,2,0,6,0
1,53,2,1,6,0
1,53,2,2,6,0
1,53,2,3,6,0
1,53,2,4,6,0
1,53,2,5,6,0
1,53,2,6,6,0
1,53,2,7,6,0
1,53,2,8,6,0
1,53,2,9,6,13
1,53,2,11,6,26
1,53,2,12,6,40
1,53,2,13,6,56
1,53,2,14,6,56
1,53,2,20,6,0
1,53,2,21,6,0
1,53,2,22,6,0
1,53,2,23,6,0
1,1,3,0,2,0
1,1,3,1,2,0
1,1,3,2,2,0
1,1,3,3,2,0
1,1,3,4,2,0
1,1,3,5,2,0
1,1,3,6,2,12
1,1,3,7,2,20
1,1,3,8,2,14
1,1,3,9,2,24
1,1,3,10,2,22
1,1,3,11,2,24
1,1,3,12,2,41
1,1,3,13,2,52
1,1,3,14,2,54
1,1,3,15,2,53
1,1,3,16,2,64
1,1,3,17,2,64
1,1,3,18,2,62
1,1,3,19,2,62
1,1,3,23,2,0
1,1,3,0,4,0
1,1,3,1,4,0
1,1,3,2,4,0
1,1,3,3,4,0
1,1,3,4,4,0
1,1,3,5,4,0
1,1,3,6,4,9
1,1,3,7,4,10
1,1,3,8,4,16
1,1,3,9,4,15
1,1,3,10,4,32
1,1,3,11,4,29
1,1,3,12,4,35
1,1,3,13,4,29
1,1,3,14,4,33
1,1,3,15,4,38
1,1,3,18,4,49
1,1,3,23,4,0
1,1,3,0,5,0
1,1,3,1,5,0
1,1,3,2,5,0
1,1,3,3,5,0
1,1,3,4,5,0
1,1,3,5,5,0
1,1,3,6,5,0
1,1,3,7,5,14
1,1,3,8,5,12
1,1,3,9,5,16
1,1,3,10,5,20
1,1,3,11,5,24
1,1,3,12,5,35
1,1,3,13,5,32
1,1,3,14,5,38
1,1,3,15,5,56
1,1,3,16,5,45
1,1,3,20,5,0
1,1,3,21,5,0
1,1,3,22,5,0
1,1,3,23,5,0
1,1,3,0,6,0
1,1,3,1,6,0
1,1,3,2,6,0
1,1,3,3,6,0
1,1,3,4,6,0
1,1,3,5,6,0
1,1,3,6,6,0
1,1,3,7,6,0
1,1,3,8,6,0
1,1,3,9,6,13
1,1,3,10,6,22
1,1,3,11,6,20
1,1,3,12,6,27
1,1,3,13,6,42
1,1,3,14,6,54
1,1,3,15,6,78
1,1,3,20,6,0
1,1,3,21,6,0
1,1,3,22,6,0
1,1,3,23,6,0
1,53,3,0,7,0
1,53,3,1,7,0
1,53,3,2,7,0
1,53,3,3,7,0
1,53,3,4,7,0
1,53,3,5,7,0
1,53,3,6,7,0
1,53,3,7,7,0
1,53,3,8,7,8
1,53,3,9,7,12
1,53,3,10,7,20
1,53,3,11,7,34
1,53,3,12,7,50
1,53,3,13,7,52
1,53,3,14,7,42
1,53,3,15,7,52
1,53,3,16,7,49
1,53,3,17,7,48
1,53,3,18,7,42
1,53,3,19,7,40
1,53,3,21,7,51
1,53,3,22,7,54
1,53,3,23,7,0
1,1,4,0,1,0
1,1,4,1,1,0
1,1,4,2,1,0
